,STATION,DATE,TAVG,TMIN,TMAX,AWND,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,bad_conditions,rating
96,USW00014765,2005-04-07,56.0,40,71,9.84,28.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,3,bad
97,USW00014765,2005-04-08,50.0,42,58,7.16,19.9,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,3,bad
98,USW00014765,2005-04-09,50.0,39,61,8.28,15.0,,,,,,,,,,,,,,,,,,,,,0,good
99,USW00014765,2005-04-10,50.0,34,65,6.04,25.1,,,,,,,,,,,,,,,,,,,,,0,good
100,USW00014765,2005-04-11,46.0,38,54,11.86,25.1,,,,,,,,,,,,,,,,,,,,,0,good
101,USW00014765,2005-04-12,43.0,32,54,10.96,23.0,,,,,,,,,,,,,,,,,,,,,0,good
102,USW00014765,2005-04-13,43.0,34,52,7.38,17.0,,,,,,,,,,,,,,,,,,,,,0,good
103,USW00014765,2005-04-14,46.0,34,57,11.63,21.9,,,,,,,,,,,,,,,,,,,,,0,good
104,USW00014765,2005-04-15,45.0,36,54,13.2,25.9,,,,,,,,,,,,,,,,,,,,,0,good
105,USW00014765,2005-04-16,46.0,32,60,7.61,15.0,,,,,,,,,,,,,,,,,,,,,0,good
106,USW00014765,2005-04-17,49.0,33,64,6.71,16.1,,,,,,,,,,,,,,,,,,,,,0,good
107,USW00014765,2005-04-18,59.0,44,73,7.83,21.0,,,,,,,,,,,,,,,,,,,,,0,good
108,USW00014765,2005-04-19,53.0,37,69,7.83,19.9,,,,,,,,,,,,,,,,,,,,,0,good
109,USW00014765,2005-04-20,67.0,47,86,12.3,25.9,,,,,,,,,,,,,,,1.0,,,,,,1,bad
110,USW00014765,2005-04-21,50.0,39,61,10.51,23.9,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,4,bad
111,USW00014765,2005-04-22,47.0,35,58,9.4,21.9,,,,,,,,,,,,,,,1.0,,,,,,1,bad
112,USW00014765,2005-04-23,55.0,46,63,12.3,23.9,1.0,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,,5,worse
113,USW00014765,2005-04-24,51.0,42,59,15.21,33.1,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,3,bad
114,USW00014765,2005-04-25,47.0,42,51,12.75,25.9,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,3,bad
115,USW00014765,2005-04-26,53.0,38,68,10.29,25.1,,,,,,,,,,,,,,,1.0,,,,,,1,bad
116,USW00014765,2005-04-27,53.0,50,56,10.07,23.0,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,5,worse
117,USW00014765,2005-04-28,53.0,41,65,11.63,32.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,4,bad
118,USW00014765,2005-04-29,52.0,40,63,10.96,23.9,,,,,,,,,,,,,,,,,,,,,0,good
119,USW00014765,2005-04-30,52.0,47,57,7.61,17.0,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,5,worse
120,USW00014765,2005-05-01,54.0,46,62,6.49,19.9,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,4,bad
121,USW00014765,2005-05-02,51.0,40,61,11.86,28.0,,,,,,,,,,,,,,,1.0,,,,,,1,bad
122,USW00014765,2005-05-03,50.0,41,58,7.83,16.1,,,,,,,,,,,,,,,,,,,,,0,good
123,USW00014765,2005-05-04,48.0,39,57,6.71,16.1,,,,,,,,,,,,,,,,,,,,,0,good
124,USW00014765,2005-05-05,49.0,36,62,6.71,19.9,,,,,,,,,,,,,,,,,,,,,0,good
125,USW00014765,2005-05-06,47.0,39,55,8.28,15.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,3,bad
126,USW00014765,2005-05-07,45.0,42,47,22.59,36.9,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,4,bad
127,USW00014765,2005-05-08,48.0,42,53,22.15,34.9,,,,,,,,,,,,,1.0,,1.0,,,,,,2,bad
128,USW00014765,2005-05-09,52.0,47,56,14.09,23.0,,,,,,,,,,,,,1.0,,1.0,,,,,,2,bad
129,USW00014765,2005-05-10,58.0,48,67,7.83,16.1,,,,,,,,,,,,,,,,,,,,,0,good
130,USW00014765,2005-05-11,53.0,44,62,9.4,23.0,,,,,,,,,,,,,,,,,,,,,0,good
131,USW00014765,2005-05-12,56.0,46,65,12.97,30.0,,,,,,,,,,,,,,,,,,,,,0,good
132,USW00014765,2005-05-13,52.0,40,64,10.07,19.9,,,,,,,,,,,,,,,,,,,,,0,good
133,USW00014765,2005-05-14,55.0,49,61,6.49,14.1,,,,,,,,,,,,,,,,,,,,,0,good
134,USW00014765,2005-05-15,57.0,47,66,5.82,15.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,3,bad
135,USW00014765,2005-05-16,55.0,45,64,8.05,14.1,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,3,bad
136,USW00014765,2005-05-17,57.0,48,65,7.16,19.9,1.0,,,,,,,,,,,1.0,,,,,,,,,2,bad
137,USW00014765,2005-05-18,55.0,47,62,5.14,16.1,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,,4,bad
138,USW00014765,2005-05-19,56.0,46,65,6.71,14.1,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,3,bad
139,USW00014765,2005-05-20,54.0,44,63,6.49,17.0,,,,,,,,,,,,,,,,,,,,,0,good
